Transaction,Time,Status
1,2024-02-14 23:28:46.937740,Rolled back
1,2024-02-14 23:28:46.937748,Committed
2,2024-02-14 23:28:46.937776,Rolled back
2,2024-02-14 23:28:46.937777,Committed
3,2024-02-14 23:28:46.937781,Rolled back
3,2024-02-14 23:28:46.937782,Committed
1,2024-02-14 23:28:46.958996,Rolled back
1,2024-02-14 23:28:46.959004,Committed
2,2024-02-14 23:28:46.959007,Rolled back
2,2024-02-14 23:28:46.959008,Committed
3,2024-02-14 23:28:46.959010,Rolled back
3,2024-02-14 23:28:46.959011,Committed
1,2024-02-14 23:28:46.979227,Rolled back
1,2024-02-14 23:28:46.979234,Committed
2,2024-02-14 23:28:46.979238,Rolled back
2,2024-02-14 23:28:46.979239,Committed
3,2024-02-14 23:28:46.979240,Rolled back
3,2024-02-14 23:28:46.979242,Committed
