Transaction,Time,Status
1,2024-02-14 23:31:16.323393,Rolled back
1,2024-02-14 23:31:16.323428,Committed
2,2024-02-14 23:31:16.323430,Rolled back
2,2024-02-14 23:31:16.323431,Committed
3,2024-02-14 23:31:16.323435,Rolled back
3,2024-02-14 23:31:16.323437,Committed
1,2024-02-14 23:31:16.339151,Rolled back
1,2024-02-14 23:31:16.339159,Committed
2,2024-02-14 23:31:16.339161,Rolled back
2,2024-02-14 23:31:16.339163,Committed
3,2024-02-14 23:31:16.339165,Rolled back
3,2024-02-14 23:31:16.339166,Committed
1,2024-02-14 23:31:16.350718,Rolled back
1,2024-02-14 23:31:16.350725,Committed
2,2024-02-14 23:31:16.350727,Rolled back
2,2024-02-14 23:31:16.350728,Committed
3,2024-02-14 23:31:16.350730,Rolled back
3,2024-02-14 23:31:16.350731,Committed
